sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,crosssell_skus,upsell_skus,additional_images,additional_image_labels,hide_from_product_page,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,configurable_variations,configurable_variation_labels,associated_skus
I0015801,,Default,simple,Default Category/COSMETIC,base,Sheer Blushing Powder - # 080 Cherry Nectar,Sheer Blushing Powder - # 080 Cherry Nectar by Gucci for Women - 0.14 oz Powder,Sheer Blushing Powder - # 080 Cherry Nectar by Gucci for Women - 0.14 oz Powder,1,1,Taxable Goods,"Catalog, Search",47.36,,,,I0015801,,,,images/I0015801.png,,images/I0015801.png,,images/I0015801.png,,,,,,,,Block after Info Column,,,,,,,,,,,,,"designer=Gucci,size=0.14 oz,type=Powder,gender=Women,upc=737052838434,pwwsku=W-C-14914",3,0,1,0,0,1,1,1,0,1,1,,1,0,0,1,1,0,0,0,1,,,,,,,,,,,,,,
I0015802,,Default,simple,Default Category/COSMETIC,base,Sheer Concealer - # 02 Soft Beige,Sheer Concealer - # 02 Soft Beige by Burberry for Women - 0.08 oz Concealer,Sheer Concealer - # 02 Soft Beige by Burberry for Women - 0.08 oz Concealer,1,1,Taxable Goods,"Catalog, Search",38.64,,,,I0015802,,,,images/I0015802.png,,images/I0015802.png,,images/I0015802.png,,,,,,,,Block after Info Column,,,,,,,,,,,,,"designer=Burberry,size=0.08 oz,type=Concealer,gender=Women,upc=5045452716821,pwwsku=W-C-14599",10,0,1,0,0,1,1,1,0,1,1,,1,0,0,1,1,0,0,0,1,,,,,,,,,,,,,,
I0015803,,Default,simple,Default Category/COSMETIC,base,Sheer Concealer - # 03 Rosy Beige,Sheer Concealer - # 03 Rosy Beige by Burberry for Women - 0.08 oz Concealer,Sheer Concealer - # 03 Rosy Beige by Burberry for Women - 0.08 oz Concealer,1,1,Taxable Goods,"Catalog, Search",38.64,,,,I0015803,,,,images/I0015803.png,,images/I0015803.png,,images/I0015803.png,,,,,,,,Block after Info Column,,,,,,,,,,,,,"designer=Burberry,size=0.08 oz,type=Concealer,gender=Women,upc=5045452716852,pwwsku=W-C-14600",18,0,1,0,0,1,1,1,0,1,1,,1,0,0,1,1,0,0,0,1,,,,,,,,,,,,,,
I0015804,,Default,simple,Default Category/COSMETIC,base,Sheer Concealer - # 04 Sandy Beige,Sheer Concealer - # 04 Sandy Beige by Burberry for Women - 0.08 oz Concealer,Sheer Concealer - # 04 Sandy Beige by Burberry for Women - 0.08 oz Concealer,1,1,Taxable Goods,"Catalog, Search",38.64,,,,I0015804,,,,images/I0015804.png,,images/I0015804.png,,images/I0015804.png,,,,,,,,Block after Info Column,,,,,,,,,,,,,"designer=Burberry,size=0.08 oz,type=Concealer,gender=Women,upc=5045452716883,pwwsku=W-C-14601",12,0,1,0,0,1,1,1,0,1,1,,1,0,0,1,1,0,0,0,1,,,,,,,,,,,,,,
I0015805,,Default,simple,Default Category/COSMETIC,base,Sheer Concealer - # 05 Amber,Sheer Concealer - # 05 Amber by Burberry for Women - 0.08 oz Concealer,Sheer Concealer - # 05 Amber by Burberry for Women - 0.08 oz Concealer,1,1,Taxable Goods,"Catalog, Search",38.64,,,,I0015805,,,,images/I0015805.png,,images/I0015805.png,,images/I0015805.png,,,,,,,,Block after Info Column,,,,,,,,,,,,,"designer=Burberry,size=0.08 oz,type=Concealer,gender=Women,upc=5045452716913,pwwsku=W-C-14602",19,0,1,0,0,1,1,1,0,1,1,,1,0,0,1,1,0,0,0,1,,,,,,,,,,,,,,
I0015806,,Default,simple,Default Category/COSMETIC,base,Sheer Concealer - # 07 Walnut,Sheer Concealer - # 07 Walnut by Burberry for Women - 0.08 oz Concealer,Sheer Concealer - # 07 Walnut by Burberry for Women - 0.08 oz Concealer,1,1,Taxable Goods,"Catalog, Search",38.64,,,,I0015806,,,,images/I0015806.png,,images/I0015806.png,,images/I0015806.png,,,,,,,,Block after Info Column,,,,,,,,,,,,,"designer=Burberry,size=0.08 oz,type=Concealer,gender=Women,upc=5045492072864,pwwsku=W-C-14603",19,0,1,0,0,1,1,1,0,1,1,,1,0,0,1,1,0,0,0,1,,,,,,,,,,,,,,
I0015807,,Default,simple,Default Category/COSMETIC,base,Sheer Expert Perfecting Fluid Foundation - # 1 Fair Beige,Sheer Expert Perfecting Fluid Foundation - # 1 Fair Beige by By Terry for Women - 1.18 oz Foundation,Sheer Expert Perfecting Fluid Foundation - # 1 Fair Beige by By Terry for Women - 1.18 oz Foundation,1,1,Taxable Goods,"Catalog, Search",53.82,,,,I0015807,,,,images/I0015807.png,,images/I0015807.png,,images/I0015807.png,,,,,,,,Block after Info Column,,,,,,,,,,,,,"designer=By Terry,size=1.18 oz,type=Foundation,gender=Women,upc=3700076434361,pwwsku=W-C-15561",7,0,1,0,0,1,1,1,0,1,1,,1,0,0,1,1,0,0,0,1,,,,,,,,,,,,,,
I0015808,,Default,simple,Default Category/COSMETIC,base,Sheer Expert Perfecting Fluid Foundation - # 2 Neutral Beige,Sheer Expert Perfecting Fluid Foundation - # 2 Neutral Beige by By Terry for Women - 1.18 oz Foundat,Sheer Expert Perfecting Fluid Foundation - # 2 Neutral Beige by By Terry for Women - 1.18 oz Foundat,1,1,Taxable Goods,"Catalog, Search",53.82,,,,I0015808,,,,images/I0015808.png,,images/I0015808.png,,images/I0015808.png,,,,,,,,Block after Info Column,,,,,,,,,,,,,"designer=By Terry,size=1.18 oz,type=Foundation,gender=Women,upc=3700076434378,pwwsku=W-C-15562",0,1,1,0,0,1,1,1,0,1,1,,1,0,0,1,1,0,0,0,1,,,,,,,,,,,,,,
I0015809,,Default,simple,Default Category/COSMETIC,base,Sheer Expert Perfecting Fluid Foundation - # 3 Cream Beige,Sheer Expert Perfecting Fluid Foundation - # 3 Cream Beige by By Terry for Women - 1.18 oz Foundatio,Sheer Expert Perfecting Fluid Foundation - # 3 Cream Beige by By Terry for Women - 1.18 oz Foundatio,1,1,Taxable Goods,"Catalog, Search",55.2,,,,I0015809,,,,images/I0015809.png,,images/I0015809.png,,images/I0015809.png,,,,,,,,Block after Info Column,,,,,,,,,,,,,"designer=By Terry,size=1.18 oz,type=Foundation,gender=Women,upc=3700076434385,pwwsku=W-C-15563",1,0,1,0,0,1,1,1,0,1,1,,1,0,0,1,1,0,0,0,1,,,,,,,,,,,,,,
I0015810,,Default,simple,Default Category/COSMETIC,base,Sheer Expert Perfecting Fluid Foundation - # 7 Vanilla Beige,Sheer Expert Perfecting Fluid Foundation - # 7 Vanilla Beige by By Terry for Women - 1.18 oz Foundat,Sheer Expert Perfecting Fluid Foundation - # 7 Vanilla Beige by By Terry for Women - 1.18 oz Foundat,1,1,Taxable Goods,"Catalog, Search",52.44,,,,I0015810,,,,images/I0015810.png,,images/I0015810.png,,images/I0015810.png,,,,,,,,Block after Info Column,,,,,,,,,,,,,"designer=By Terry,size=1.18 oz,type=Foundation,gender=Women,upc=3700076434422,pwwsku=W-C-15564",11,0,1,0,0,1,1,1,0,1,1,,1,0,0,1,1,0,0,0,1,,,,,,,,,,,,,,
I0015811,,Default,simple,Default Category/COSMETIC,base,Sheer Expert Perfecting Fluid Foundation - # 8 Intense Beige,Sheer Expert Perfecting Fluid Foundation - # 8 Intense Beige by By Terry for Women - 1.18 oz Foundat,Sheer Expert Perfecting Fluid Foundation - # 8 Intense Beige by By Terry for Women - 1.18 oz Foundat,1,1,Taxable Goods,"Catalog, Search",55.2,,,,I0015811,,,,images/I0015811.png,,images/I0015811.png,,images/I0015811.png,,,,,,,,Block after Info Column,,,,,,,,,,,,,"designer=By Terry,size=1.18 oz,type=Foundation,gender=Women,upc=3700076434439,pwwsku=W-C-15565",2,0,1,0,0,1,1,1,0,1,1,,1,0,0,1,1,0,0,0,1,,,,,,,,,,,,,,
I0015812,,Default,simple,Default Category/COSMETIC,base,Sheer Expert-Perfecting Fluid Foundation Sheer Flawless - # 5 Peach Beige,Sheer Expert-Perfecting Fluid Foundation Sheer Flawless - # 5 Peach Beige by By Terry for Women - 1.,Sheer Expert-Perfecting Fluid Foundation Sheer Flawless - # 5 Peach Beige by By Terry for Women - 1.,1,1,Taxable Goods,"Catalog, Search",52.44,,,,I0015812,,,,images/I0015812.png,,images/I0015812.png,,images/I0015812.png,,,,,,,,Block after Info Column,,,,,,,,,,,,,"designer=By Terry,size=1.17 oz,type=Foundation,gender=Women,upc=3700076434408,pwwsku=W-C-13166",14,0,1,0,0,1,1,1,0,1,1,,1,0,0,1,1,0,0,0,1,,,,,,,,,,,,,,
I0015813,,Default,simple,Default Category/COSMETIC,base,Sheer Eye Zone Corrector - # 102 Light,Sheer Eye Zone Corrector - # 102 Light by Shiseido for Women - 0.14 oz Corrector,Sheer Eye Zone Corrector - # 102 Light by Shiseido for Women - 0.14 oz Corrector,1,1,Taxable Goods,"Catalog, Search",24.84,,,,I0015813,,,,images/I0015813.png,,images/I0015813.png,,images/I0015813.png,,,,,,,,Block after Info Column,,,,,,,,,,,,,"designer=Shiseido,size=0.14 oz,type=Corrector,gender=Women,upc=730852110144,pwwsku=W-C-6395",0,1,1,0,0,1,1,1,0,1,1,,1,0,0,1,1,0,0,0,1,,,,,,,,,,,,,,
