sku,manage_stock,is_in_stock,errors
I0080963,1,0,
I0080964,1,1,
I0080965,1,0,
I0080966,1,1,
I0080967,1,1,
I0080968,1,1,
I0080969,1,1,
I0080970,1,1,
I0080971,1,1,
I0080972,1,1,
I0080973,1,1,
I0080974,1,1,
I0080975,1,1,
I0080976,1,0,
I0080977,1,1,
I0080978,1,1,
I0080979,1,1,
I0080980,1,1,
I0080981,1,1,
I0080982,1,1,
I0080983,1,1,
I0080984,1,1,
I0080985,1,1,
I0080986,1,0,
I0080987,1,0,
I0080988,1,1,
I0080989,1,1,
I0080990,1,1,
I0080991,1,1,
I0080992,1,1,
I0080993,1,1,
I0080994,1,1,
I0080995,1,1,
I0080996,1,1,
I0080997,1,1,
I0080998,1,1,
I0080999,1,1,
I0081000,1,1,
I0081001,1,1,
I0081002,1,0,
I0081003,1,1,
I0081004,1,1,
I0081005,1,0,
I0081006,1,1,
I0081007,1,1,
I0081008,1,1,
I0081009,1,1,
I0081010,1,1,
I0081011,1,1,
I0081012,1,0,
I0081013,1,1,
I0081014,1,1,
I0081015,1,1,
I0081016,1,0,
I0081017,1,1,
I0081018,1,1,
I0081019,1,0,
I0081020,1,1,
I0081021,1,1,
I0081022,1,1,
I0081023,1,1,
I0081024,1,1,
I0081025,1,1,
I0081026,1,1,
I0081027,1,0,
I0081028,1,1,
I0081029,1,1,
I0081030,1,1,
I0081031,1,0,
I0081032,1,1,
I0081033,1,1,
I0081034,1,1,
I0081035,1,1,
I0081036,1,1,
I0081037,1,1,
I0081038,1,1,
I0081039,1,1,
I0081040,1,1,
I0081041,1,1,
I0081042,1,1,
I0081043,1,1,
I0081044,1,1,
I0081045,1,1,
I0081046,1,1,
I0081047,1,1,
I0081048,1,1,
I0081049,1,1,
I0081050,1,1,
I0081051,1,1,
I0081052,1,1,
I0081053,1,1,
I0081054,1,1,
I0081055,1,1,
I0081056,1,1,
I0081057,1,1,
I0081058,1,1,
I0081059,1,1,
I0081060,1,1,
I0081061,1,1,
I0081062,1,1,
I0081063,1,1,
I0081064,1,1,
I0081065,1,1,
I0081066,1,1,
I0081067,1,1,
I0081068,1,1,
I0081069,1,1,
I0081070,1,1,
I0081071,1,1,
I0081072,1,1,
I0081073,1,1,
I0081074,1,0,
I0081075,1,1,
I0081076,1,0,
I0081077,1,1,
I0081078,1,1,
I0081079,1,0,
I0081080,1,1,
I0081081,1,0,
I0081082,1,1,
I0081083,1,1,
I0081084,1,1,
I0081085,1,1,
I0081086,1,1,
I0081087,1,1,
I0081088,1,1,
I0081089,1,1,
I0081090,1,1,
I0081091,1,1,
I0081092,1,1,
I0081093,1,1,
I0081094,1,1,
I0081095,1,1,
I0081096,1,1,
I0081097,1,1,
I0081098,1,1,
I0081099,1,1,
I0081100,1,1,
I0081101,1,1,
I0081102,1,1,
I0081103,1,1,
I0081104,1,1,
I0081105,1,0,
I0081106,1,1,
I0081107,1,0,
I0081108,1,1,
I0081109,1,1,
I0081110,1,1,
I0081111,1,1,
I0081112,1,1,
I0081113,1,1,
I0081114,1,1,
I0081115,1,1,
I0081116,1,1,
I0081117,1,1,
I0081118,1,1,
I0081119,1,1,
I0081120,1,1,
I0081121,1,1,
I0081122,1,1,
I0081123,1,1,
I0081124,1,1,
I0081125,1,1,
I0081126,1,1,
I0081127,1,1,
I0081128,1,1,
I0081129,1,0,
I0081130,1,1,
I0081131,1,1,
I0081132,1,1,
I0081133,1,1,
I0081134,1,0,
I0081135,1,1,
I0081136,1,1,
I0081137,1,0,
I0081138,1,0,
I0081139,1,1,
I0081140,1,1,
I0081141,1,1,
I0081142,1,1,
I0081143,1,1,
I0081144,1,1,
I0081145,1,1,
I0081146,1,1,
I0081147,1,1,
I0081148,1,1,
I0081149,1,1,
I0081150,1,1,
I0081151,1,1,
I0081152,1,1,
I0081153,1,0,
I0081154,1,1,
I0081155,1,1,
I0081156,1,1,
I0081157,1,1,
I0081158,1,1,
I0081159,1,1,
I0081160,1,1,
I0081161,1,0,
I0081162,1,1,
I0081163,1,1,
I0081164,1,1,
I0081165,1,1,
I0081166,1,1,
I0081167,1,1,
I0081168,1,1,
I0081169,1,1,
I0081170,1,1,
I0081171,1,1,
I0081172,1,1,
I0081173,1,1,
I0081174,1,1,
I0081175,1,0,
I0081176,1,1,
I0081177,1,1,
I0081178,1,0,
I0081179,1,1,
I0081180,1,1,
I0081181,1,1,
I0081182,1,1,
I0081183,1,1,
I0081184,1,1,
I0081185,1,1,
I0081186,1,1,
I0081187,1,1,
I0081188,1,1,
I0081189,1,1,
I0081190,1,1,
I0081191,1,1,
I0081192,1,1,
I0081193,1,1,
I0081194,1,1,
I0081195,1,1,
I0081196,1,1,
I0081197,1,1,
I0081198,1,1,
I0081199,1,1,
I0081200,1,1,
I0081201,1,1,
I0081202,1,1,
I0081203,1,1,
I0081204,1,1,
I0081205,1,1,
I0081206,1,1,
I0081207,1,1,
I0081208,1,1,
I0081209,1,0,
I0081210,1,1,
I0081211,1,1,
I0081212,1,1,
I0081213,1,1,
I0081214,1,0,
I0081215,1,1,
I0081216,1,1,
I0081217,1,0,
I0081218,1,1,
I0081219,1,1,
I0081220,1,1,
I0081221,1,1,
I0081222,1,1,
I0081223,1,1,
I0081224,1,1,
I0081225,1,1,
I0081226,1,1,
I0081227,1,1,
I0081228,1,0,
I0081229,1,1,
I0081230,1,1,
I0081231,1,1,
I0081232,1,0,
I0081233,1,1,
I0081234,1,1,
I0081235,1,1,
I0081236,1,1,
I0081237,1,1,
I0081238,1,1,
I0081239,1,1,
I0081240,1,0,
I0081241,1,1,
I0081242,1,0,
I0081243,1,1,
I0081244,1,1,
I0081245,1,1,
I0081246,1,1,
I0081247,1,1,
I0081248,1,1,
I0081249,1,1,
I0081250,1,1,
I0081251,1,1,
I0081252,1,1,
I0081253,1,0,
I0081254,1,1,
I0081255,1,0,
I0081256,1,1,
I0081257,1,0,
I0081258,1,1,
I0081259,1,1,
I0081260,1,1,
I0081261,1,1,
I0081262,1,1,
I0081263,1,1,
I0081264,1,1,
I0081265,1,1,
I0081266,1,1,
I0081267,1,1,
I0081268,1,1,
I0081269,1,1,
I0081270,1,1,
I0081271,1,1,
I0081272,1,0,
I0081273,1,0,
I0081274,1,1,
I0081275,1,1,
I0081276,1,1,
I0081277,1,0,
I0081278,1,1,
I0081279,1,1,
I0081280,1,1,
I0081281,1,1,
I0081282,1,1,
I0081283,1,1,
I0081284,1,1,
I0081285,1,1,
I0081286,1,0,
I0081287,1,1,
I0081288,1,0,
I0081289,1,0,
I0081290,1,0,
I0081291,1,0,
I0081292,1,1,
I0081293,1,1,
I0081294,1,1,
I0081295,1,1,
I0081296,1,0,
I0081297,1,1,
I0081298,1,1,
I0081299,1,1,
I0081300,1,1,
I0081301,1,1,
I0081302,1,0,
I0081303,1,0,
I0081304,1,1,
I0081305,1,1,
I0081306,1,1,
I0081307,1,1,
I0081308,1,0,
I0081309,1,1,
I0081310,1,1,
I0081311,1,1,
I0081312,1,1,
I0081313,1,1,
I0081314,1,1,
I0081315,1,1,
I0081316,1,1,
I0081317,1,1,
I0081318,1,1,
I0081319,1,1,
I0081320,1,1,
I0081321,1,1,
I0081322,1,1,
I0081323,1,1,
I0081324,1,1,
I0081325,1,1,
I0081326,1,1,
I0081327,1,1,
I0081328,1,1,
I0081329,1,0,
I0081330,1,1,
I0081331,1,1,
I0081332,1,1,
I0081333,1,0,
I0081334,1,1,
I0081335,1,1,
I0081336,1,0,
I0081337,1,1,
I0081338,1,1,
I0081339,1,1,
I0081340,1,1,
I0081341,1,0,
I0081342,1,1,
I0081343,1,1,
I0081344,1,0,
I0081345,1,0,
I0081346,1,0,
I0081347,1,1,
I0081348,1,1,
I0081349,1,1,
I0081350,1,1,
I0081351,1,1,
I0081352,1,1,
I0081353,1,1,
I0081354,1,1,
I0081355,1,1,
I0081356,1,0,
I0081357,1,1,
I0081358,1,1,
I0081359,1,1,
I0081360,1,1,
I0081361,1,1,
I0081362,1,0,
I0081363,1,1,
I0081364,1,0,
I0081365,1,1,
I0081366,1,1,
I0081367,1,1,
I0081368,1,1,
I0081369,1,0,
I0081370,1,1,
I0081371,1,1,
I0081372,1,1,
I0081373,1,1,
I0081374,1,0,
I0081375,1,0,
I0081376,1,1,
I0081377,1,0,
I0081378,1,1,
I0081379,1,1,
I0081380,1,1,
I0081381,1,1,
I0081382,1,1,
I0081383,1,1,
I0081384,1,1,
I0081385,1,1,
I0081386,1,1,
I0081387,1,1,
I0081388,1,1,
I0081389,1,1,
I0081390,1,1,
I0081391,1,1,
I0081392,1,1,
I0081393,1,0,
I0081394,1,1,
I0081395,1,1,
I0081396,1,1,
I0081397,1,1,
I0081398,1,1,
I0081399,1,1,
I0081400,1,1,
I0081401,1,1,
I0081402,1,1,
I0081403,1,1,
I0081404,1,0,
I0081405,1,1,
I0081406,1,1,
I0081407,1,1,
I0081408,1,1,
I0081409,1,1,
I0081410,1,1,
I0081411,1,0,
I0081412,1,1,
I0081413,1,1,
I0081414,1,1,
I0081415,1,1,
I0081416,1,0,
I0081417,1,1,
I0081418,1,1,
I0081419,1,1,
I0081420,1,1,
I0081421,1,1,
I0081422,1,0,
I0081423,1,1,
I0081424,1,1,
I0081425,1,0,
I0081426,1,1,
I0081427,1,1,
I0081428,1,1,
I0081429,1,1,
I0081430,1,0,
I0081431,1,1,
I0081432,1,1,
I0081433,1,1,
I0081434,1,1,
I0081435,1,0,
I0081436,1,1,
I0081437,1,1,
I0081438,1,1,
I0081439,1,1,
I0081440,1,1,
I0081441,1,1,
I0081442,1,1,
I0081443,1,1,
I0081444,1,1,
I0081445,1,1,
I0081446,1,1,
I0081447,1,1,
I0081448,1,0,
I0081449,1,1,
I0081450,1,1,
I0081451,1,1,
I0081452,1,1,
I0081453,1,1,
I0081454,1,1,
I0081455,1,1,
I0081456,1,0,
I0081457,1,1,
I0081458,1,1,
I0081459,1,1,
I0081460,1,1,
I0081461,1,1,
I0081462,1,1,
I0081463,1,1,
I0081464,1,1,
I0081465,1,1,
I0081466,1,1,
I0081467,1,1,
I0081468,1,1,
I0081469,1,1,
I0081470,1,1,
I0081471,1,1,
I0081472,1,1,
I0081473,1,1,
I0081474,1,1,
I0081475,1,1,
I0081476,1,1,
I0081477,1,1,
I0081478,1,1,
I0081479,1,1,
I0081480,1,1,
I0081481,1,1,
I0081482,1,1,
I0081483,1,1,
I0081484,1,1,
I0081485,1,1,
I0081486,1,1,
I0081487,1,0,
I0081488,1,0,
I0081489,1,0,
I0081490,1,0,
I0081491,1,1,
I0081492,1,0,
I0081493,1,1,
I0081494,1,1,
I0081495,1,1,
I0081496,1,1,
I0081497,1,1,
I0081498,1,1,
I0081499,1,0,
I0081500,1,1,
I0081501,1,1,
I0081502,1,1,
I0081503,1,1,
I0081504,1,1,
I0081505,1,1,
I0081506,1,1,
I0081507,1,1,
I0081508,1,1,
I0081509,1,1,
I0081510,1,1,
I0081511,1,1,
I0081512,1,1,
I0081513,1,1,
I0081514,1,1,
I0081515,1,1,
I0081516,1,1,
I0081517,1,1,
I0081518,1,1,
I0081519,1,1,
I0081520,1,1,
I0081521,1,1,
I0081522,1,1,
I0081523,1,0,
I0081524,1,0,
I0081525,1,1,
I0081526,1,1,
I0081527,1,1,
I0081528,1,1,
I0081529,1,1,
I0081530,1,1,
I0081531,1,1,
I0081532,1,1,
I0081533,1,1,
I0081534,1,1,
I0081535,1,0,
I0081536,1,0,
I0081537,1,1,
I0081538,1,0,
I0081539,1,1,
I0081540,1,1,
I0081541,1,1,
I0081542,1,0,
I0081543,1,0,
I0081544,1,0,
I0081545,1,0,
I0081546,1,1,
I0081547,1,1,
I0081548,1,1,
I0081549,1,1,
I0081550,1,1,
I0081551,1,0,
I0081552,1,1,
I0081553,1,1,
I0081554,1,1,
I0081555,1,1,
I0081556,1,1,
I0081557,1,1,
I0081558,1,1,
I0081559,1,1,
I0081560,1,1,
I0081561,1,0,
I0081562,1,1,
I0081563,1,0,
I0081564,1,1,
I0081565,1,1,
I0081566,1,0,
I0081567,1,1,
I0081568,1,1,
I0081569,1,1,
