sku,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label
I0067982,images/I0067982.jpg,I0067982,images/I0067982.jpg,I0067982,images/I0067982.jpg,I0067982
I0067983,images/I0067983.jpg,I0067983,images/I0067983.jpg,I0067983,images/I0067983.jpg,I0067983
I0067984,images/I0067984.jpg,I0067984,images/I0067984.jpg,I0067984,images/I0067984.jpg,I0067984
I0067985,images/I0067985.jpg,I0067985,images/I0067985.jpg,I0067985,images/I0067985.jpg,I0067985
I0067986,images/I0067986.jpg,I0067986,images/I0067986.jpg,I0067986,images/I0067986.jpg,I0067986
I0067987,images/I0067987.jpg,I0067987,images/I0067987.jpg,I0067987,images/I0067987.jpg,I0067987
I0067988,images/I0067988.jpg,I0067988,images/I0067988.jpg,I0067988,images/I0067988.jpg,I0067988
I0067989,images/I0067989.jpg,I0067989,images/I0067989.jpg,I0067989,images/I0067989.jpg,I0067989
I0067990,images/I0067990.jpg,I0067990,images/I0067990.jpg,I0067990,images/I0067990.jpg,I0067990
I0067991,images/I0067991.jpg,I0067991,images/I0067991.jpg,I0067991,images/I0067991.jpg,I0067991
I0067992,images/I0067992.jpg,I0067992,images/I0067992.jpg,I0067992,images/I0067992.jpg,I0067992
I0067993,images/I0067993.jpg,I0067993,images/I0067993.jpg,I0067993,images/I0067993.jpg,I0067993
I0067994,images/I0067994.jpg,I0067994,images/I0067994.jpg,I0067994,images/I0067994.jpg,I0067994
I0067995,images/I0067995.jpg,I0067995,images/I0067995.jpg,I0067995,images/I0067995.jpg,I0067995
I0067996,images/I0067996.jpg,I0067996,images/I0067996.jpg,I0067996,images/I0067996.jpg,I0067996
I0067997,images/I0067997.jpg,I0067997,images/I0067997.jpg,I0067997,images/I0067997.jpg,I0067997
I0067998,images/I0067998.jpg,I0067998,images/I0067998.jpg,I0067998,images/I0067998.jpg,I0067998
I0067999,images/I0067999.jpg,I0067999,images/I0067999.jpg,I0067999,images/I0067999.jpg,I0067999
I0068000,images/I0068000.jpg,I0068000,images/I0068000.jpg,I0068000,images/I0068000.jpg,I0068000
I0068001,images/I0068001.jpg,I0068001,images/I0068001.jpg,I0068001,images/I0068001.jpg,I0068001
I0068002,images/I0068002.jpg,I0068002,images/I0068002.jpg,I0068002,images/I0068002.jpg,I0068002
I0068003,images/I0068003.jpg,I0068003,images/I0068003.jpg,I0068003,images/I0068003.jpg,I0068003
I0068004,images/I0068004.jpg,I0068004,images/I0068004.jpg,I0068004,images/I0068004.jpg,I0068004
I0068005,images/I0068005.jpg,I0068005,images/I0068005.jpg,I0068005,images/I0068005.jpg,I0068005
I0068006,images/I0068006.jpg,I0068006,images/I0068006.jpg,I0068006,images/I0068006.jpg,I0068006
I0068007,images/I0068007.jpg,I0068007,images/I0068007.jpg,I0068007,images/I0068007.jpg,I0068007
I0068008,images/I0068008.jpg,I0068008,images/I0068008.jpg,I0068008,images/I0068008.jpg,I0068008
I0068009,images/I0068009.jpg,I0068009,images/I0068009.jpg,I0068009,images/I0068009.jpg,I0068009
I0068010,images/I0068010.jpg,I0068010,images/I0068010.jpg,I0068010,images/I0068010.jpg,I0068010
I0068012,images/I0068012.jpg,I0068012,images/I0068012.jpg,I0068012,images/I0068012.jpg,I0068012
I0068013,images/I0068013.jpg,I0068013,images/I0068013.jpg,I0068013,images/I0068013.jpg,I0068013
I0068014,images/I0068014.jpg,I0068014,images/I0068014.jpg,I0068014,images/I0068014.jpg,I0068014
I0068015,images/I0068015.jpg,I0068015,images/I0068015.jpg,I0068015,images/I0068015.jpg,I0068015
I0068016,images/I0068016.jpg,I0068016,images/I0068016.jpg,I0068016,images/I0068016.jpg,I0068016
I0068017,images/I0068017.jpg,I0068017,images/I0068017.jpg,I0068017,images/I0068017.jpg,I0068017
I0068018,images/I0068018.jpg,I0068018,images/I0068018.jpg,I0068018,images/I0068018.jpg,I0068018
I0068019,images/I0068019.jpg,I0068019,images/I0068019.jpg,I0068019,images/I0068019.jpg,I0068019
I0068020,images/I0068020.jpg,I0068020,images/I0068020.jpg,I0068020,images/I0068020.jpg,I0068020
I0068021,images/I0068021.jpg,I0068021,images/I0068021.jpg,I0068021,images/I0068021.jpg,I0068021
I0068022,images/I0068022.jpg,I0068022,images/I0068022.jpg,I0068022,images/I0068022.jpg,I0068022
I0068023,images/I0068023.jpg,I0068023,images/I0068023.jpg,I0068023,images/I0068023.jpg,I0068023
I0068024,images/I0068024.jpg,I0068024,images/I0068024.jpg,I0068024,images/I0068024.jpg,I0068024
I0068025,images/I0068025.jpg,I0068025,images/I0068025.jpg,I0068025,images/I0068025.jpg,I0068025
I0068026,images/I0068026.jpg,I0068026,images/I0068026.jpg,I0068026,images/I0068026.jpg,I0068026
I0068027,images/I0068027.jpg,I0068027,images/I0068027.jpg,I0068027,images/I0068027.jpg,I0068027
