sku,qty,out_of_stock_qty,price
I0000411,6,0,2.76
I0000412,0,1,4.14
I0000413,0,1,2.76
I0000414,1,0,2.76
I0000415,6,0,6.9
I0000416,3,0,6.9
I0000417,19,0,6.9
I0000418,1,0,55.2
I0000419,1,0,69
I0000420,0,1,57.96
I0000421,0,1,89.7
I0000422,2,0,5.52
I0000423,923,0,5.52
I0000424,0,1,4.14
I0000425,2,0,4.14
I0000426,0,1,7.59
I0000427,34,0,0.41
I0000428,29,0,0.41
I0000429,22,0,5.6
I0000430,0,1,1.59
I0000431,-24,1,5.52
I0000432,3,0,11.73
I0000433,79,0,7.25
I0000434,39,0,11.73
I0000435,4,0,4.49
I0000436,3,0,8.65
I0000437,0,1,7.52
I0000438,0,1,5.73
I0000439,3,0,6.9
I0000440,571,0,11.73
I0000441,1,0,5.18
I0000442,3,0,5.18
I0000443,20,0,1.09
I0000444,2,0,12.42
I0000445,16,0,3.8
I0000446,4,0,4.14
I0000447,0,1,2.15
I0000448,236,0,7.25
I0000449,0,1,2.07
I0000450,6,0,4.14
I0000451,4,0,4.14
I0000452,1,0,14.08
I0000453,0,1,17.94
I0000454,0,1,11.04
I0000455,0,1,9.66
I0000456,1,0,5.52
I0000457,0,1,3.8
I0000458,22,0,5.93
I0000459,1,0,4.83
I0000460,1,0,4.83
I0000461,42,0,4.83
I0000462,120,0,4.14
I0000463,1,0,3.45
I0000464,1,0,4.83
I0000465,43,0,4.83
I0000466,34,0,3.45
I0000467,0,1,7.71
I0000468,676,0,7.94
I0000469,48,0,2.24
I0000470,26,0,3.45
I0000471,24,0,4.83
I0000472,17,0,3.45
I0000473,0,1,5.52
I0000474,0,1,7.15
I0000475,0,1,12.83
I0000476,1429,0,10.35
I0000477,1,0,4.83
I0000478,1,0,5.3
I0000479,1,0,4.46
I0000480,1,0,4.53
I0000481,0,1,1.95
I0000482,3,0,4.22
I0000483,1,0,4.53
I0000484,0,1,4.17
I0000485,0,1,1.73
I0000486,0,1,3.12
I0000487,3,0,2.99
I0000488,154,0,6.07
I0000489,-5,1,6.04
I0000490,0,1,2.9
I0000491,0,1,2.9
I0000492,3,0,2.08
I0000493,3,0,4.94
I0000494,0,1,4.47
I0000495,75,0,2.97
I0000496,214,0,7.94
I0000497,8,0,7.71
I0000498,0,1,8.28
I0000499,26,0,3.45
I0000500,23,0,4.49
I0000501,92,0,6.21
I0000502,1022,0,5.52
I0000503,0,1,34.78
I0000504,5,0,8.97
I0000505,3,0,12.42
I0000506,1,0,4.83
I0000507,1,0,4.83
I0000508,1,0,4.83
I0000509,266,0,4.49
I0000510,1,0,4.83
I0000511,1456,0,7.94
I0000512,674,0,6.56
I0000513,190,0,5.52
I0000514,2,0,4.49
I0000515,3,0,5.52
I0000516,1,0,4.83
I0000517,1,0,4.83
I0000518,0,1,10.35
I0000519,0,1,11.73
I0000520,41,0,3.45
I0000521,0,1,19.32
I0000522,25,0,35.88
I0000523,0,1,19.32
I0000524,0,1,9.66
I0000525,0,1,17.94
I0000526,0,1,31.74
I0000527,1,0,16.56
I0000528,0,1,31.74
I0000529,0,1,17.25
I0000530,0,1,16.56
I0000531,0,1,17.94
I0000532,0,1,30.36
I0000533,0,1,16.56
I0000534,0,1,17.94
I0000535,0,1,1.96
I0000536,0,1,9.66
I0000537,3,0,6.9
I0000538,0,1,4.83
I0000539,1,0,4.83
I0000540,0,1,4.14
I0000541,0,1,11.04
I0000542,1,0,5.27
I0000543,1,0,11.04
I0000544,1,0,5.52
I0000545,1,0,3.8
I0000546,1,0,15.87
I0000547,0,1,1.73
I0000548,3,0,28.98
I0000549,0,1,1.73
I0000550,3,0,8.28
I0000551,4,0,6.9
I0000552,-4,1,24.84
I0000553,2,0,20.7
I0000554,0,1,2.76
I0000555,0,1,4.14
I0000556,0,1,4.83
I0000557,0,1,3.11
I0000558,0,1,4.83
I0000559,2,0,3.11
I0000560,0,1,4.83
I0000561,0,1,4.83
I0000562,0,1,3.45
I0000563,0,1,5.18
I0000564,1,0,4.83
I0000565,0,1,4.83
I0000566,0,1,3.11
I0000567,0,1,2.76
I0000568,0,1,5.18
I0000569,0,1,4.83
I0000570,0,1,3.11
I0000571,0,1,4.83
I0000572,2,0,3.11
I0000573,18,0,4.1
I0000574,0,1,2.75
I0000575,0,1,9.66
I0000576,0,1,2.35
I0000577,0,1,7.71
I0000578,6,0,7.94
I0000579,95,0,2.01
I0000580,0,1,2.1
I0000581,0,1,1.85
I0000582,0,1,1.85
I0000583,0,1,6.21
I0000584,108,0,5.52
I0000585,0,1,16.56
I0000586,5,0,13.8
I0000587,1,0,30.36
I0000588,10,0,20.7
I0000589,2,0,14.49
I0000590,12,0,30.36
I0000591,19,0,20.7
I0000592,3,0,13.8
I0000593,0,1,30.36
I0000594,2,0,20.7
I0000595,0,1,13.8
I0000596,6,0,30.36
I0000597,5,0,20.7
I0000598,2,0,30.36
I0000599,0,1,30.36
I0000600,0,1,30.36
I0000601,1,0,30.36
I0000602,10,0,20.7
I0000603,2,0,30.36
I0000604,9,0,20.7
I0000605,0,1,30.36
I0000606,8,0,20.7
I0000607,0,1,28.98
I0000608,5,0,20.7
I0000609,0,1,30.36
I0000610,12,0,20.7
I0000611,2,0,17.94
I0000612,0,1,11.04
I0000613,1,0,25.53
I0000614,4,0,59.34
I0000615,0,1,26.22
I0000616,1,0,41.95
I0000617,2,0,59.34
I0000618,0,1,23.46
I0000619,0,1,28.98
I0000620,0,1,15.18
I0000621,0,1,5.19
I0000622,3,0,4.21
I0000623,22,0,4.14
I0000624,27,0,3.89
I0000625,2,0,29.46
I0000626,0,1,23.46
I0000627,0,1,28.98
I0000628,0,1,34.5
I0000629,0,1,2.35
I0000630,12,0,9.66
I0000631,46,0,7.59
I0000632,0,1,4.83
I0000633,1,0,11.04
I0000634,676,0,15.18
I0000635,0,1,12.42
I0000636,1784,0,14.49
I0000637,5,0,2.03
I0000638,7,0,17.25
I0000639,86,0,20.01
I0000640,0,1,20.7
I0000641,170,0,19.32
I0000642,0,1,16.56
I0000643,2,0,33.81
I0000644,7,0,1.99
I0000645,4,0,3.02
I0000646,0,1,3.33
I0000647,0,1,28.29
I0000648,38,0,2.55
I0000649,93,0,2.72
I0000650,3,0,11.04
I0000651,1,0,16.56
I0000652,0,1,41.4
I0000653,0,1,55.2
I0000654,3,0,23.12
I0000655,13,0,2.08
I0000656,0,1,7.09
I0000657,3,0,31.74
I0000658,23,0,9.11
I0000659,0,1,12.42
I0000660,0,1,5.59
I0000661,0,1,7.25
I0000662,0,1,1.24
I0000663,0,1,31.74
I0000664,0,1,27.6
I0000665,0,1,23.46
I0000666,35,0,15.18
I0000667,0,1,8.28
I0000668,0,1,12.42
I0000669,0,1,5.06
I0000670,3,0,10.01
I0000671,0,1,5.41
I0000672,0,1,8.8
I0000673,1,0,11.04
I0000674,0,1,12.38
I0000675,0,1,6.9
I0000676,60,0,4.49
I0000677,0,1,4.49
I0000678,0,1,15.18
I0000679,9,0,3.45
I0000680,4,0,2.03
I0000681,6,0,13.11
I0000682,4,0,2.03
I0000683,0,1,27.6
I0000684,0,1,28.98
I0000685,0,1,16.56
I0000686,1,0,59.34
I0000687,0,1,59.34
I0000688,0,1,25.53
I0000689,1,0,30.36
I0000690,-2,1,44.16
I0000691,0,1,6.56
I0000692,7,0,4.14
I0000693,-3,1,19.04
I0000694,0,1,2.66
I0000695,5,0,2.98
I0000696,0,1,5.08
I0000697,0,1,4.6
I0000698,0,1,5.48
I0000699,0,1,4.95
I0000700,1,0,13.11
I0000701,0,1,14.15
I0000702,1,0,13.11
I0000703,4,0,4.79
I0000704,3,0,4.79
I0000705,0,1,4.14
I0000706,0,1,15.18
I0000707,0,1,31.74
I0000708,0,1,15.18
I0000709,0,1,16.56
I0000710,0,1,16.56
I0000711,0,1,15.18
I0000712,0,1,12.42
I0000713,0,1,10.24
I0000714,0,1,13.11
I0000715,3,0,4.14
I0000716,1,0,13.8
I0000717,0,1,31.74
I0000718,0,1,15.18
I0000719,3,0,16.56
I0000720,0,1,15.29
I0000721,14,0,19.87
I0000722,0,1,15.18
I0000723,0,1,1.24
I0000724,0,1,14.49
I0000725,0,1,22.77
I0000726,0,1,15.18
I0000727,0,1,15.18
I0000728,0,1,30.36
I0000729,0,1,14.49
I0000730,3,0,8.28
I0000731,0,1,8.97
I0000732,0,1,14.49
I0000733,4,0,6.9
I0000734,1,0,2.76
I0000735,1,0,10.24
I0000736,0,1,18.63
I0000737,0,1,12.08
I0000738,0,1,17.94
I0000739,2,0,11.04
I0000740,15,0,7.25
I0000741,0,1,8.28
I0000742,3,0,8.58
I0000743,3,0,9.49
I0000744,9,0,8.46
I0000745,1,0,16.56
I0000746,0,1,2.42
I0000747,63,0,2.55
I0000748,0,1,4.14
I0000749,244,0,6.56
I0000750,1,0,1.38
I0000751,28,0,20.7
I0000752,2,0,5.52
I0000753,1,0,2.76
I0000754,0,1,15.18
I0000755,0,1,14.49
I0000756,0,1,8.28
I0000757,0,1,12.42
I0000758,0,1,2.9
I0000759,0,1,15.18
I0000760,0,1,22.08
I0000761,0,1,6.9
I0000762,0,1,11.73
I0000763,0,1,13.8
I0000764,1,0,13.8
I0000765,0,1,2.76
I0000766,0,1,27.6
I0000767,0,1,13.46
I0000768,0,1,17.94
I0000769,156,0,23.46
I0000770,0,1,30.36
I0000771,0,1,13.46
I0000772,0,1,20.7
I0000773,1,0,13.11
I0000774,3,0,20.7
I0000775,0,1,27.6
I0000776,3,0,27.6
I0000777,0,1,22.01
I0000778,0,1,16.56
I0000779,2,0,22.08
I0000780,0,1,13.8
I0000781,0,1,35.88
I0000782,0,1,42.09
I0000783,5,0,6.83
I0000784,0,1,13.11
I0000785,3,0,30.36
I0000786,0,1,30.36
I0000787,0,1,28.98
I0000788,0,1,13.11
I0000789,0,1,20.7
I0000790,0,1,17.94
I0000791,0,1,26.22
I0000792,171,0,8.63
I0000793,0,1,5.87
I0000794,3,0,24.84
I0000795,14,0,22.08
I0000796,1,0,15.18
I0000797,1,0,19.32
I0000798,1,0,9.66
I0000799,0,1,3.31
I0000800,1,0,13.8
I0000801,0,1,8.97
I0000802,0,1,17.25
I0000803,0,1,8.97
I0000804,0,1,16.56
I0000805,0,1,11.04
I0000806,3,0,13.8
I0000807,0,1,2.76
I0000808,0,1,4.14
I0000809,0,1,4.83
I0000810,0,1,7.59
I0000811,1,0,24.84
I0000812,3,0,15.18
I0000813,6,0,34.5
I0000814,3,0,19.32
I0000815,1,0,4.66
I0000816,1,0,4.66
I0000817,24,0,22.08
I0000818,3,0,12.42
I0000819,4,0,12.42
I0000820,0,1,13.11
I0000821,0,1,4.83
I0000822,2,0,2.07
I0000823,0,1,12.42
I0000824,0,1,10.05
I0000825,0,1,4.14
I0000826,3,0,10.7
I0000827,2,0,14.49
I0000828,0,1,9.66
I0000829,116,0,5.11
I0000830,57,0,6.93
I0000831,1,0,4.49
I0000832,0,1,9.66
I0000833,10,0,5.52
I0000834,0,1,6.9
I0000835,23,0,4.49
I0000836,1,0,3.33
I0000837,81,0,12.08
I0000838,0,1,1.92
I0000839,42,0,2.95
I0000840,35,0,1.81
I0000841,0,1,3.42
I0000842,3,0,2.87
I0000843,58,0,4.6
I0000844,0,1,2.87
I0000845,3,0,19.32
I0000846,1,0,13.8
I0000847,11,0,4.49
I0000848,5,0,13.8
I0000849,0,1,13.8
I0000850,0,1,13.8
I0000851,19,0,4.21
I0000852,2,0,4.13
I0000853,0,1,3.52
I0000854,0,1,2.35
I0000855,0,1,13.8
I0000856,0,1,13.8
I0000857,0,1,13.8
I0000858,0,1,4.14
I0000859,1,0,6.58
I0000860,0,1,5.24
I0000861,0,1,4.87
I0000862,0,1,6
I0000863,4,0,4.87
I0000864,351,0,6.21
I0000865,0,1,13.8
I0000866,15,0,13.11
I0000867,-3,1,17.94
I0000868,0,1,17.94
I0000869,3,0,57.96
I0000870,3,0,16.38
I0000871,0,1,16.56
I0000872,0,1,33.12
I0000873,0,1,4.14
I0000874,0,1,3.05
I0000875,0,1,16.56
I0000876,6,0,4.69
I0000877,127,0,4.14
I0000878,63,0,9.66
I0000879,37,0,1.73
I0000880,0,1,1.9
I0000881,0,1,0.87
I0000882,194,0,1.93
I0000883,8,0,3.74
I0000884,0,1,1.95
I0000885,16,0,13.11
I0000886,1,0,17.25
I0000887,0,1,0.97
I0000888,0,1,0.98
I0000889,0,1,0.98
I0000890,18,0,2.76
I0000891,0,1,2.35
I0000892,0,1,19.32
I0000893,0,1,9.32
I0000894,0,1,3.45
I0000895,0,1,2.59
I0000896,0,1,2.87
I0000897,0,1,10.35
I0000898,0,1,22.08
I0000899,0,1,1.73
I0000900,-8,1,11.04
I0000901,0,1,46.92
I0000902,0,1,0.92
I0000903,0,1,4.33
I0000904,14,0,9.32
I0000905,42,0,16.56
I0000906,0,1,22.08
I0000907,0,1,16.56
I0000908,7,0,11.04
I0000909,12,0,4.83
I0000910,0,1,2.42
I0000911,1,0,6.31
I0000912,0,1,6.9
I0000913,0,1,4.14
I0000914,1,0,9.66
I0000915,2,0,4.14
I0000916,2,0,5.56
I0000917,43,0,5.87
I0000918,24,0,9.66
I0000919,0,1,16.56
I0000920,22,0,3.93
I0000921,0,1,2.87
I0000922,45,0,3.31
I0000923,0,1,2.35
I0000924,0,1,20.7
I0000925,0,1,23.46
I0000926,0,1,50.37
I0000927,0,1,22.77
I0000928,424,0,2.48
I0000929,1,0,3.57
I0000930,143,0,6.56
I0000931,23,0,3.34
I0000932,0,1,4.62
I0000933,1,0,5.05
I0000934,1,0,6.9
I0000935,0,1,2.28
I0000936,53,0,5.18
I0000937,145,0,5.18
I0000938,0,1,3.68
I0000939,0,1,5.52
I0000940,12,0,23.46
I0000941,0,1,46.92
I0000942,0,1,45.54
I0000943,1,0,24.84
I0000944,0,1,30.36
I0000945,0,1,24.34
I0000946,0,1,44.16
I0000947,0,1,48.3
I0000948,0,1,4.14
I0000949,0,1,4.14
I0000950,1,0,24.84
I0000951,83,0,23.46
I0000952,3,0,3.45
I0000953,0,1,31.74
I0000954,0,1,4.83
I0000955,0,1,8.28
I0000956,0,1,12.42
I0000957,0,1,4.14
I0000958,301,0,3.38
I0000959,0,1,14.77
I0000960,24,0,4.93
I0000961,0,1,4.14
I0000962,3,0,10.35
I0000963,0,1,23.12
I0000964,0,1,10.35
I0000965,0,1,6.9
I0000966,1,0,11.04
I0000967,0,1,4.14
I0000968,726,0,1.38
I0000969,1,0,13.8
I0000970,0,1,4.83
I0000971,0,1,4.21
I0000972,0,1,5.52
I0000973,28,0,2.76
I0000974,0,1,33.12
I0000975,9,0,56.58
I0000976,0,1,20.7
I0000977,2,0,23.46
I0000978,0,1,71.76
I0000979,2,0,5.52
I0000980,35,0,7.94
I0000981,216,0,3.45
I0000982,0,1,3.09
I0000983,0,1,4.55
I0000984,0,1,54.62
I0000985,0,1,28.98
I0000986,0,1,34.5
I0000987,0,1,5.52
I0000988,0,1,12.42
I0000989,366,0,18.29
I0000990,3,0,59.34
I0000991,3,0,34.5
I0000992,2,0,38.64
I0000993,0,1,5.18
I0000994,-22,1,4.83
I0000995,3,0,7.59
I0000996,1,0,2.9
I0000997,1,0,5.87
I0000998,32,0,3.45
I0000999,0,1,30.36
I0001000,4,0,27.26
I0001001,0,1,44.16
I0001002,4,0,4.43
I0001003,0,1,6.22
I0001004,2,0,16.56
I0001005,0,1,12.42
I0001006,0,1,4.42
I0001007,3,0,3.85
I0001008,0,1,3.41
I0001009,0,1,3.45
I0001010,0,1,8.93
I0001011,97,0,10.35
I0001012,21,0,30.36
I0001013,16,0,38.64
I0001014,162,0,8.63
I0001015,3,0,26.22
I0001016,0,1,20.36
I0001017,2,0,26.22
I0001018,0,1,27.6
I0001019,53,0,10.35
I0001020,0,1,26.22
I0001021,294,0,8.63
I0001022,3,0,3.28
I0001023,0,1,4.83
I0001024,1,0,3.38
I0001025,0,1,4.06
I0001026,0,1,3.28
I0001027,24,0,37.95
I0001028,10,0,1.41
I0001029,0,1,1.17
I0001030,0,1,3.89
I0001031,0,1,4.04
I0001032,121,0,3.22
I0001033,0,1,2.87
I0001034,200,0,2.97
I0001035,68,0,2.42
I0001036,1,0,2.77
I0001037,58,0,1.88
I0001038,2,0,25.53
I0001039,0,1,3.6
I0001040,1,0,3.11
I0001041,1,0,6.9
I0001042,0,1,18.63
I0001043,0,1,17.94
I0001044,0,1,19.32
I0001045,0,1,19.32
I0001046,46,0,6.9
I0001047,0,1,15.18
I0001048,0,1,24.84
I0001049,5,0,56.58
I0001050,2,0,30.36
I0001051,2,0,33.12
I0001052,12,0,16.56
I0001053,0,1,22.08
I0001054,0,1,13.8
I0001055,28,0,33.12
I0001056,0,1,2.42
I0001057,0,1,9.66
I0001058,0,1,13.46
I0001059,0,1,6.21
I0001060,62,0,6.9
I0001061,0,1,6.21
I0001062,50,0,6.21
I0001063,3,0,20.01
I0001064,0,1,11.73
I0001065,0,1,12.42
I0001066,0,1,2.83
I0001067,0,1,2.91
I0001068,0,1,15.53
I0001069,1,0,8.97
I0001070,0,1,1.06
I0001071,0,1,3.49
I0001072,11,0,3.68
I0001073,0,1,1.77
I0001074,0,1,4.14
I0001075,34,0,4.83
I0001076,0,1,4.14
I0001077,0,1,7.25
I0001078,0,1,5.31
I0001079,0,1,5.19
